start_station_name,cluster,lat,lng,total_count
Clark St & Armitage Ave,2,41.91830589370927,-87.6362833423514,24149
Clark St & Berwyn Ave,0,41.97802572300624,-87.66825081111185,11231
Clark St & Bryn Mawr Ave,0,41.983592851978386,-87.66915428922074,7448
Clark St & Chicago Ave,0,41.89674817169175,-87.63088230042953,11388
Clark St & Columbia Ave,2,42.004450436604074,-87.67240265172663,2325
Clark St & Drummond Pl,2,41.93124801389809,-87.64433449012259,14013
Clark St & Eddy St ,0,41.94628306005109,-87.65626648978979,3739
Clark St & Elm St,2,41.903000655315594,-87.63147447856358,27714
Clark St & Elmdale Ave,0,41.99086043369232,-87.66972162791495,2664
Clark St & Fletcher St,0,41.938942329758476,-87.6503197010233,1387
Clark St & Grace St,0,41.95078336200262,-87.65917324146925,9935
Clark St & Ida B Wells Dr,1,41.875934671221884,-87.63058612405487,8766
Clark St & Jarvis Ave,2,42.0159629916223,-87.6750047289446,1390
Clark St & Lake St,1,41.88602058857164,-87.63087785983286,18757
Clark St & Leland Ave,0,41.967088703308924,-87.66729718464339,8131
Clark St & Lincoln Ave,2,41.915692076055976,-87.63460076849044,23350
Clark St & Lunt Ave,2,42.0090121831026,-87.67411517514941,3687
Clark St & Montrose Ave,0,41.96158731402965,-87.66604254392355,7285
Clark St & Newport St,0,41.94453930508662,-87.65467992149964,14927
Clark St & North Ave,2,41.91197305986849,-87.63194420261279,10136
Clark St & Schiller St,2,41.907994308200294,-87.63150273761309,14996
Clark St & Schreiber Ave,0,41.99924474547724,-87.67125261345858,3053
Clark St & Touhy Ave,2,42.012561033592796,-87.67436509736865,853
Clark St & Washington St,1,41.88301092619623,-87.63099584933069,1009
Clark St & Wellington Ave,2,41.93649678917618,-87.64754021198131,12395
Clark St & Winnemac Ave,0,41.973347495661486,-87.66785463956137,13463
Clark St & Wrightwood Ave,2,41.92954673893175,-87.64312016193597,16791
Clark/Eddy,0,41.94659541196498,-87.6560967840428,771
Clark/Newport Corral,0,41.9449424282646,-87.65461158764425,1130
Clark/Racine Corral,0,41.95044323811487,-87.65931705547882,827
Clifton Ave & Armitage Ave,2,41.9182159656599,-87.65693871133281,9604
Clinton St & 18th St,2,41.85794872479673,-87.64082611532585,3296
Clinton St & Jackson Blvd,1,41.87831814649672,-87.64098544303076,23649
Clinton St & Lake St,1,41.885631180405525,-87.64182440193221,18471
Clinton St & Madison St,1,41.88253503902507,-87.64118582401538,27045
Clinton St & Polk St,0,41.87146588667713,-87.6409491970492,1122
Clinton St & Roosevelt Rd,2,41.86711808388244,-87.6410876003761,5299
Clinton St & Tilden St,1,41.87588464797104,-87.64079337621867,6526
Clinton St & Washington Blvd,1,41.88330726072841,-87.64118327763984,26411
Clinton St & Washington Blvd 2,1,41.88337810615669,-87.6411772578775,5412
Clybourn Ave & Division St,2,41.90461265882106,-87.64055276305817,5622
Columbus Dr & Randolph St,2,41.88471695458705,-87.61951898333724,21356
Conservatory Dr & Lake St,0,41.88549857779568,-87.71686638689587,509
Cornell Ave & Hyde Park Blvd,2,41.80240609487823,-87.58692384070626,6315
Cottage Grove Ave & 43rd St,2,41.816499048440704,-87.60658231479968,624
Cottage Grove Ave & 51st St,2,41.8030377763839,-87.60661517586676,758
Cottage Grove Ave & 63rd St,1,41.780531905755694,-87.60597172524359,967
Cottage Grove Ave & 67th St,2,41.77372094380934,-87.60563496631013,503
Cottage Grove Ave & Oakwood Blvd,2,41.822984480572615,-87.60709989899067,964
Daley Center Plaza,1,41.88424071742659,-87.62963314921357,20802
Damen Ave & Charleston St,2,41.92008115665836,-87.67785850590501,5538
Damen Ave & Chicago Ave,0,41.89568564742467,-87.67713492030322,10560
Damen Ave & Clybourn Ave,2,41.931981116353775,-87.67798846259802,3963
Damen Ave & Cortland St,0,41.915983463609315,-87.67733417231779,10287
Damen Ave & Cullerton St,2,41.85496684834383,-87.6756982681552,2623
Damen Ave & Division St,0,41.903265590651095,-87.67843708453886,8518
